url,status_code,agriculture,disease,dna,weather
https://whatsthebigdata.com/2013/05/08/bill-bratton-on-predicitive-policing-homeland-and-hometown-security/,200,0,0,0,0
https://whatsthebigdata.com/2016/03/28/55-smart-city-startups/,200,0,0,0,1
https://whatsthebigdata.com/2016/08/15/fastest-1b-exits-for-vc-backed-companies/,200,0,0,0,0
https://whatsthebigdata.com/category/predictions/,200,0,0,0,0
https://whatsthebigdata.com/2017/02/17/idcs-predictions-for-big-data-analytics-cloud-mobile-and-social/,200,0,0,0,0
https://whatsthebigdata.com/2013/05/09/moju-labs-smart-album-the-killer-app-for-google-glass/,200,0,0,0,0
https://whatsthebigdata.com/2018/01/12/cybersecurity-chiefs-john-graham-jabil/,200,0,0,0,0
https://whatsthebigdata.com/2017/12/31/kai-fu-lee-on-why-china-will-lead-in-ai/,200,0,0,0,0
https://whatsthebigdata.com/category/healthcare/,200,0,84,0,0
https://whatsthebigdata.com/2018/01/09/cybersecurity-chiefs-andy-ellis-akamai/,200,0,0,0,0
https://whatsthebigdata.com/2018/01/01/2018-predictions-for-ai-big-data-and-analytics/,200,0,0,0,0
https://whatsthebigdata.com/2017/12/20/ai-automation-robotics-and-jobs/,200,0,0,0,0
https://whatsthebigdata.com/category/smart-home/,200,0,0,0,0
https://whatsthebigdata.com/2016/06/01/internet-trends-2016-from-mary-meeker/,200,0,0,0,0
https://whatsthebigdata.com/tag/sydney-padua/,200,0,0,0,0
https://whatsthebigdata.com/category/facebook/,200,0,0,0,0
https://whatsthebigdata.com/tag/ada-lovelace/,200,0,0,2,0
https://whatsthebigdata.com/category/stats/page/2/,200,0,0,0,0
https://whatsthebigdata.com/tag/analytical-engine/,200,0,0,0,0
https://whatsthebigdata.com/2015/06/01/how-to-establish-startup-incubators-and-ensure-successful-exits-by-jerusalem-venture-partners/,200,0,0,0,0
https://whatsthebigdata.com/category/uncategorized/,200,0,0,0,0
https://whatsthebigdata.com/category/algorithms/,200,0,0,0,0
https://whatsthebigdata.com/tag/cb-insights/,200,0,0,0,0
https://whatsthebigdata.com/category/privacy/,200,0,0,0,0
https://whatsthebigdata.com/tag/cjr/,200,0,0,0,0
https://whatsthebigdata.com/2016/08/04/top-ten-predictions-for-2116/,200,0,7,0,0
https://whatsthebigdata.com/2016/12/08/acquisitions-and-investments-by-media-companies-since-2010/,200,0,0,0,0
https://whatsthebigdata.com/category/smart-grid/,200,0,0,0,0
https://whatsthebigdata.com/2017/11/24/from-big-data-analytics-to-ai-vodafone-and-celonis-mine-data-to-improve-business-processes/,200,0,0,0,0
https://whatsthebigdata.com/2016/05/22/eniac-in-action-making-and-remaking-the-modern-computer/,200,0,0,0,0
https://whatsthebigdata.com/2018/01/04/digital-guardian-cybersecurity-at-jabil/,200,0,0,0,0
https://whatsthebigdata.com/category/jobs/,200,0,0,0,0
https://whatsthebigdata.com/category/health-care/,200,0,79,0,0
https://whatsthebigdata.com/2018/01/10/cybersecurity-chiefs-roland-cloutier-adp/,200,0,0,0,0
https://whatsthebigdata.com/2017/06/14/distracted-millennials-social-media-addiction/,200,0,0,0,0
https://whatsthebigdata.com/2017/12/22/moshe-yanai-re-thinking-the-big-data-box/,200,0,0,0,0
https://whatsthebigdata.com/category/world-wide-web/,200,0,0,0,0
https://whatsthebigdata.com/2017/02/12/a-very-short-history-of-artificial-intelligence-ai/,200,0,0,0,0
https://whatsthebigdata.com/2015/09/28/google-stats-of-the-week-learning-by-smartphone/,200,0,0,0,0
https://whatsthebigdata.com/tag/smartphone/,200,0,0,0,0
https://whatsthebigdata.com/2017/02/03/13-year-old-facebook-dominates-social-media/,200,0,0,0,0
https://whatsthebigdata.com/category/china/,200,0,13,0,0
https://whatsthebigdata.com/category/mobile/,200,0,6,0,0
https://whatsthebigdata.com/2012/06/12/the-data-science-interview-mok-oh-paypal/,200,0,0,0,0
https://whatsthebigdata.com/2015/01/05/jim-heppelmann-ceo-of-ptc-on-the-internet-of-things/,200,0,0,0,0
https://whatsthebigdata.com/2015/09/30/cohesity-secondary-storage-consolidation-startup/,200,0,0,0,0
https://whatsthebigdata.com/category/statistics/,200,0,0,0,0
https://whatsthebigdata.com/tag/pew-internet/,200,0,0,0,0
https://whatsthebigdata.com/2015/04/20/gordon-moore-on-50-years-of-moores-law/,200,0,0,0,0
https://whatsthebigdata.com/2013/02/27/the-big-data-interview-dave-rich-ceo-revolution-analytics/,200,0,0,0,0
https://whatsthebigdata.com/2017/12/10/how-israel-became-a-cybersecurity-powerhouse/,200,0,0,0,0
https://whatsthebigdata.com/2017/12/01/train-for-the-next-cyber-attack-at-cybergym/,200,0,0,0,0
https://whatsthebigdata.com/tag/pew-research-center/,200,0,0,2,0
https://whatsthebigdata.com/2013/11/14/bits-to-yottabytes-the-past-and-future-of-hard-drives/,200,0,0,0,0
https://whatsthebigdata.com/2012/07/30/the-big-data-interview-sanjay-mirchandani-cio-emc/,200,0,0,0,0
https://whatsthebigdata.com/category/infographics/,200,0,0,0,0
https://whatsthebigdata.com/author/ggpress/page/2/,200,0,0,0,0
https://whatsthebigdata.com/2013/06/30/big-data-quotes-disruptive-innovation/,200,0,15,0,0
https://whatsthebigdata.com/category/startups/,200,0,0,0,0
https://whatsthebigdata.com/category/cybersecurity/page/2/,200,0,0,0,0
https://whatsthebigdata.com/tag/eharmony/,200,0,0,0,0
https://whatsthebigdata.com/2015/04/20/data-science-is-making-trains-more-efficient-video/,200,0,0,0,0
https://whatsthebigdata.com/category/data-science-history/page/2/,200,0,0,0,0
https://whatsthebigdata.com/category/big-data-futures/,200,0,0,0,0
https://whatsthebigdata.com/2015/11/10/the-evolution-of-biotechnology-8000-bc-to-near-future-infographic/,200,0,0,0,0
https://whatsthebigdata.com/2016/01/29/big-data-timeline/,200,0,0,0,0
https://whatsthebigdata.com/tag/google/page/2/,200,0,10,0,0
https://whatsthebigdata.com/2016/02/15/beyond-apple-facebook-microsoft-and-google-intelligent-assistants-landscape/,200,0,0,0,0
https://whatsthebigdata.com/2011/06/04/future-solutions-to-big-data-requirements/,200,0,0,0,0
https://whatsthebigdata.com/category/crowdsourcing/,200,0,6,0,0
https://whatsthebigdata.com/2017/01/30/data-science-skills-domain-expertise-programming-statistics/,200,0,0,0,0
https://whatsthebigdata.com/category/data-journalism/,200,0,8,0,0
https://whatsthebigdata.com/2016/03/31/google-self-driving-cars-are-both-3-and-30-years-away/,200,0,11,0,3
https://whatsthebigdata.com/2017/03/14/data-is-eating-the-world-self-driving-cars/,200,0,0,0,0
https://whatsthebigdata.com/2016/12/14/the-market-for-smart-lighting-and-connected-lighting-controls-to-reach-more-than-12-billion-by-2020/,200,0,0,0,0
https://whatsthebigdata.com/category/smart-speakers/,200,0,0,2,0
https://whatsthebigdata.com/2013/08/31/big-data-and-education-infographic/,200,0,0,2,0
https://whatsthebigdata.com/category/social-impact/,200,0,0,0,0
https://whatsthebigdata.com/category/training/,200,0,0,0,0
