"title","author","genre","rating","img","numRater","type","price"
"The Four Agreements","don Miguel Ruiz","Religion","4.6","https://images-na.ssl-images-amazon.com/images/I/61hO0qr0lQL._AC_UL200_SR200,200_.jpg","7576","Audible Audiobook"," Free with Audible trial"
"The Life-Changing Magic of Tidying Up","Marie Kondo","Religion","4.4","https://images-na.ssl-images-amazon.com/images/I/81l4YLSx36L._AC_UL200_SR200,200_.jpg","13910","Hardcover","5"
"Same Kind of Different As Me","Ron Hall","Religion","4.8","https://images-na.ssl-images-amazon.com/images/I/91lghxSydML._UX300_PJku-sticker-v7,TopRight,0,-50_OU01__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","3144","Kindle Edition","9.99"
"The Miracle Morning","Hal Elrod","Religion","4.6","https://images-na.ssl-images-amazon.com/images/I/81Qc3T3YIsL._UX300_PJku-sticker-v7,TopRight,0,-50_OU01__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","3450","Kindle Edition","9.97"
"The 5 Love Languages","Gary Chapman","Religion","4.8","https://images-na.ssl-images-amazon.com/images/I/51ItBwnbJ6L._AC_UL200_SR200,200_.jpg","14138","Paperback","9.39"
"The Four Agreements","Don Miguel Ruiz","Religion","4.6","https://images-na.ssl-images-amazon.com/images/I/91Rp%2By1ePrL._AC_UL200_SR200,200_.jpg","7576","Paperback","7.49"
"It's Not Supposed to Be This Way","Lysa TerKeurst","Religion","4.8","https://images-na.ssl-images-amazon.com/images/I/81ThXlXJqgL._AC_UL200_SR200,200_.jpg","391","Hardcover","14.99"
"The Lost Girls of Paris","Pam Jenoff","Religion","4.3","https://images-na.ssl-images-amazon.com/images/I/81pIX55W4mL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","208","Kindle Edition","9.99"
"The Tattooist of Auschwitz","Heather Morris","Religion","4.6","https://images-na.ssl-images-amazon.com/images/I/816xs8KtuEL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","1234","Kindle Edition","11.99"
"The Total Money Makeover","Dave Ramsey","Religion","4.7","https://images-na.ssl-images-amazon.com/images/I/51ZnWl2H2aL._AC_UL200_SR200,200_.jpg","6214","Audible Audiobook"," Free with Audible trial"
"Girl, Wash Your Face","Rachel Hollis","Religion","4.7","https://images-na.ssl-images-amazon.com/images/I/91FStYY4sML.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","9426","Kindle Edition","12.99"
"The 5 Love Languages","Gary Chapman","Religion","4.8","https://images-na.ssl-images-amazon.com/images/I/81fA-i7ednL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","14138","Kindle Edition","6.67"
"The Life-Changing Magic of Tidying Up","Marie Kondo","Religion","4.4","https://images-na.ssl-images-amazon.com/images/I/A1Iou9K8hdL._AC_UL200_SR200,200_.jpg","13910","Audible Audiobook"," Free with Audible trial"
"Life Before Life","Jim B. Tucker","Religion","4.1","https://images-na.ssl-images-amazon.com/images/I/41fdNkhXWxL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","170","Kindle Edition","1.99"
"Man's Search for Meaning","Viktor E. Frankl","Religion","4.7","https://images-na.ssl-images-amazon.com/images/I/71OLtGMB0PL._AC_UL200_SR200,200_.jpg","4525","Paperback","7.36"
"Milk and Honey","Rupi Kaur","Religion","4.6","https://images-na.ssl-images-amazon.com/images/I/71l9WWa-rXL._UX300_PJku-sticker-v7,TopRight,0,-50_OU01__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","6303","Kindle Edition","7.99"
